classification,postal_code,street_number,street_name,street_type
Non Residential,B2X 1K9,95,CALEDONIA,RD
Non Residential,B3R 1W2,378,HERRING COVE,RD
Non Residential,B3K 4Y4,3480,PRESCOTT,ST
Non Residential,B3M 2N4,28,TITUS,ST
Non Residential,B2X 1S1,177,MAIN,ST
Non Residential,B2T 1B9,2965,OLD GUYSBOROUGH,RD
Non Residential,B3J 2A4,1729,BARRINGTON,ST
Non Residential,B2Y 3W2,21,GASTON,RD
Non Residential,B3B 0E8,7,MELLOR,AVE
Non Residential,B3K 1Z7,5555,YOUNG,ST
Non Residential,B2Y 1G2,53,QUEEN,ST
Non Residential,B3L 1N4,7156,CHEBUCTO,RD
Non Residential,B3J 2G1,1589,BRUNSWICK,ST
Non Residential,B3K 4X7,3486,KEMPT,RD
Non Residential,B2W 2P3,4,BELL,ST
Non Residential,B4E 1G3,10,BEAVER BANK,RD
Non Residential,B2T 0C1,50,SELFRIDGE,WAY
Non Residential,B2R 1S4,2455,ROCKY LAKE,DR
Non Residential,B4C 2S2,546,SACKVILLE,DR
Non Residential,B3L 1A4,6273,QUINPOOL,RD
Non Residential,B3T 1P6,1300,PROSPECT,RD
Non Residential,B3B 1P4,210,JOSEPH ZATZMAN,DR
Non Residential,B2Y 4V9,81,MOUNT HOPE,AVE
Non Residential,B3H 2Z1,1340,CATHEDRAL,LANE
Non Residential,B3K 3E1,2856,GOTTINGEN,ST
Non Residential,B3J 2H8,1520,QUEEN,ST
Non Residential,B4A 2Z2,51,DUKE,ST
Non Residential,B3Z 2H3,5688,ST MARGARETS BAY,RD
Non Residential,B3B 0B5,90,LAMONT,TERR
Non Residential,B3B 0C2,44,HECTOR,GATE
Non Residential,B4C 3H3,125,METROPOLITAN,AVE
Non Residential,B4A 1C2,1181,BEDFORD,HWY
Non Residential,B3L 1A4,6253,QUINPOOL,RD
Non Residential,B3V 1G8,1277,JOHN BRACKETT,DR
Non Residential,B3T 1P3,24,MILLS,DR
Non Residential,B3J 3Z4,1477,LOWER WATER,ST
Non Residential,B4C 2S1,495,SACKVILLE,DR
Non Residential,B3K 4N9,2657,ROBIE,ST
Non Residential,B0J 3A0,10,AVENGER,PL
Non Residential,B4B 0G2,127,APPALOOSA,RUN
Non Residential,B2Y 1H2,46,PORTLAND,ST
Non Residential,B4B 1H1,205,BLUEWATER,RD
Non Residential,B3N 2T1,3621,DUTCH VILLAGE,RD
Non Residential,B0J 3A0,176,MARINE PARADE,DR
Non Residential,B2Y 1C9,161,OCHTERLONEY,ST
Non Residential,B0N 1Y0,9,MILFORD,RD
Non Residential,B3K 4P9,3128,ROBIE,ST
Non Residential,B4B 1Y2,435,HAMMONDS PLAINS,RD
Non Residential,B3A 1L9,101,WYSE,RD
Non Residential,B2Y 1Y2,8,BEACON,ST
Non Residential,B3Z 1E3,5209,ST MARGARETS BAY,RD
Non Residential,B3B 0H8,610,WRIGHT,AVE
Non Residential,B3N 2R8,3432,DUTCH VILLAGE,RD
Non Residential,B3K 2K7,5676,SEBASTIAN,ST
Non Residential,B3B 1P6,84,SIMMONDS,DR
Non Residential,B3A 2Z9,66,LYLE,ST
Non Residential,B2Y 4R4,31,MOUNT HOPE,AVE
Non Residential,B3H 1Y9,6036,COBURG,RD
Non Residential,B3H 2R9,1120,QUEEN,ST
Non Residential,B3V 1H6,995,HERRING COVE,RD
Non Residential,B4E 1R7,792,SACKVILLE,DR
Non Residential,B3Z 1E1,4408,ST MARGARETS BAY,RD
Non Residential,B3J 1G9,5639,SPRING GARDEN,RD
Non Residential,B2Y 1N1,303,PRINCE ALBERT,RD
Non Residential,B0J 1N0,54,LAKE,RD
Non Residential,B3K 4P2,2760,ROBIE,ST
Non Residential,B3S 1A7,102,CHAIN LAKE,DR
Non Residential,B3M 3P1,128,KEARNEY LAKE,RD
Non Residential,B0J 2L0,126,ROOKERY,WAY
Non Residential,B2R 1R7,2512,ROCKY LAKE,DR
Non Residential,B2V 1E8,977,COLE HARBOUR,RD
Non Residential,B3A 1J1,338,WINDMILL,RD
Non Residential,B3S 1B7,48,ASH LAKE,CRT
Non Residential,B3T 1A1,12,DOMINION,CRES
Non Residential,B4E 0L1,1727,SACKVILLE,DR
Non Residential,B3S 1C9,217,CHAIN LAKE,DR
Non Residential,B4B 2A1,89,GREENSIDE,LANE
Non Residential,B3J 1Z6,1566,BARRINGTON,ST
Non Residential,B3Z 3J6,225,BOUTILIERS COVE,RD
Non Residential,B2X 1K7,15,CALEDONIA,RD
Non Residential,B3T 1Y5,180,SANDY COVE,RD
Non Residential,B3K 5C8,2608,WINDSOR,ST
Non Residential,B4A 0K1,32,ESQUIRE,LANE
Non Residential,B3L 1A3,6208,QUINPOOL,RD
Non Residential,B3A 4K9,135,WYSE,RD
Non Residential,B3K 1X2,5540,RUSSELL,ST
Non Residential,B3R 1V4,308,HERRING COVE,RD
Non Residential,B2V 1E9,1222,COLE HARBOUR,RD
Non Residential,B3J 1T6,1268,HOLLIS,ST
Non Residential,B3H 1K8,5932,INGLIS,ST
Non Residential,B3T 1B8,1823,ST MARGARETS BAY,RD
Non Residential,B3H 2R8,1075,QUEEN,ST
Non Residential,B0J 3A0,1024,MAIN,RD
Non Residential,B0N 1X0,680,CONROD,RD
Non Residential,B3A 1H7,327,WINDMILL,RD
Non Residential,B3K 6R8,5980,UNIVERSITY,AVE
Non Residential,B3M 1S4,1,FLAMINGO,DR
Non Residential,B2W 2S7,114,WOODLAWN,RD
Non Residential,B3K 5N6,3115,KEMPT,RD
Non Residential,B0J 1W0,294,UPPER LAKEVILLE,RD
Non Residential,B4A 4C5,114,OCEANVIEW,DR
Non Residential,B3J 1M3,5077,GEORGE,ST
Non Residential,B2Y 2S6,22,WENTWORTH,ST
Non Residential,B0J 1W0,51,OLD TRUNK,RD
Non Residential,B2T 1E2,195,OLD POST,RD
Non Residential,B3V 1L4,1618,KETCH HARBOUR,RD
Non Residential,B3B 0E5,185,HECTOR,GATE
Non Residential,B2X 1T4,299,MAIN,ST
Non Residential,B0J 1B0,8465,ST MARGARETS BAY,RD
Non Residential,B3L 1A8,6436,QUINPOOL,RD
Non Residential,B4G 1C2,132,TRINITY,LANE
Non Residential,B3K 4B6,2380,AGRICOLA,ST
Non Residential,B3J 1Y2,1235,BARRINGTON,ST
Non Residential,B3B 0E1,50,FOULIS,ROW
Non Residential,B2Z 1K2,4,PETER,CRT
Non Residential,B4B 1N8,633,POCKWOCK,RD
Non Residential,B3T 2C1,4093,PROSPECT,RD
Non Residential,B3J 1Z7,1585,BARRINGTON,ST
Non Residential,B3J 3T5,1464,DRESDEN,ROW
Non Residential,B3Z 1E2,5106,ST MARGARETS BAY,RD
Non Residential,B3A 4S8,20,HIGHFIELD PARK,DR
Non Residential,B2Y 2W1,35,CANAL,ST
Non Residential,B3B 1N4,196,JOSEPH ZATZMAN,DR
Non Residential,B3B 1V1,142,ILSLEY,AVE
Non Residential,B4B 1P3,2039,HAMMONDS PLAINS,RD
Non Residential,B3Z 2H9,5411,ST MARGARETS BAY,RD
Non Residential,B2Y 2N7,81,ALDERNEY,DR
Non Residential,B3A 0A5,465,PRINCESS MARGARET,BLVD
Non Residential,B3V 1H1,59,VILLAGE,RD
Non Residential,B3L 3R5,2756,SWAINE,ST
Non Residential,B3M 2K5,277,BEDFORD,HWY
Non Residential,B4A 2C7,377,SHORE,DR
Non Residential,B4E 3A8,1617,SACKVILLE,DR
Non Residential,B4A 2Z5,44,VERDI,DR
Non Residential,B4B 1P6,1415,HAMMONDS PLAINS,RD
Non Residential,B3B 0C5,49,GALE,TERR
Non Residential,B3Z 3S1,185,PEGGYS POINT,RD
Non Residential,B4A 0H3,222,WATERFRONT,DR
Non Residential,B3T 1C4,20,YORKSHIRE,DR
Non Residential,B3K 5C9,2666,WINDSOR,ST
Non Residential,B2W 3E7,63,TACOMA,DR
Non Residential,B3J 1S9,1887,UPPER WATER,ST
Non Residential,B3B 1H4,81,WRIGHT,AVE
Non Residential,B3L 2V9,2891,OXFORD,ST
Non Residential,B0J 2K0,8,NECUM TEUCH,LOOP
Non Residential,B3A 1M9,192,WYSE,RD
Non Residential,B3N 2G6,65,SUNNYBRAE,AVE
Non Residential,B3P 1R5,68,PARKHILL,RD
Non Residential,B3K 4Y4,3486,PRESCOTT,ST
Non Residential,B3T 1A2,1300,ST MARGARETS BAY,RD
Non Residential,B3L 1B1,6443,QUINPOOL,RD
Non Residential,B3B 1S3,160,THORNHILL,DR
Non Residential,B2Y 1H6,90,PORTLAND,ST
Non Residential,B3K 5W1,2439,OLYMPIC,CRT
Non Residential,B3B 1Z1,98,WILLIAMS,AVE
Non Residential,B3K 1B3,5531,CORNWALLIS,ST
Non Residential,B2V 1M9,1213,COLE HARBOUR,RD
Non Residential,B3K 4P2,2752,ROBIE,ST
Non Residential,B3A 3G8,179,BOLAND,RD
Non Residential,B0J 1Y0,384,WEST SHIP HARBOUR,RD
Non Residential,B3L 2W3,2985,OXFORD,ST
Non Residential,B2X 2C1,200,WAVERLEY,RD
Non Residential,B3A 1H1,302,WINDMILL,RD
Non Residential,B3T 1P5,1078,PROSPECT,RD
Non Residential,B4A 1C9,1336,BEDFORD,HWY
Non Residential,B3B 0H5,25,GUILDFORD,AVE
Non Residential,B3B 1E3,51,FIELDING,AVE
Non Residential,B3J 2A4,1705,BARRINGTON,ST
Non Residential,B3B 1K1,11,PETTIPAS,DR
Non Residential,B2V 1E7,972,COLE HARBOUR,RD
Non Residential,B3H 4H9,6061,UNIVERSITY,AVE
Non Residential,B3J 1Z1,1334,BARRINGTON,ST
Non Residential,B3T 1A7,1133,ST MARGARETS BAY,RD
Non Residential,B3V 1H2,242,VILLAGE,RD
Non Residential,B3K 4T7,2631,KING,ST
Non Residential,B4C 2S2,552,SACKVILLE,DR
Non Residential,B3K 5A9,3660,STRAWBERRY HILL,ST
Non Residential,B3Z 3J7,14,BOUTILIERS COVE,RD
Non Residential,B3B 0L1,15,CUDDY,LANE
Non Residential,B0J 1P0,610,MYERS POINT,RD
Non Residential,B3K 4C2,2500,AGRICOLA,ST
Non Residential,B3S 1C5,186,CHAIN LAKE,DR
Non Residential,B4A 1Y4,9,SPRING,ST
Non Residential,B3Z 3A6,11169,PEGGYS COVE,RD
Non Residential,B3H 1T2,6101,SOUTH,ST
Non Residential,B3J 1L3,5112,PRINCE,ST
Non Residential,B2Y 4W6,44,ORION,CRT
Non Residential,B2Y 4R4,41,MOUNT HOPE,AVE
Non Residential,B3S 1C5,204,CHAIN LAKE,DR
Non Residential,B4A 0H1,64,DELLRIDGE,LANE
Non Residential,B0J 2L0,67,PARK,RD
Non Residential,B3A 1J9,461,WINDMILL,RD
Non Residential,B4A 2W5,148,MANN,ST
Non Residential,B3G 1M3,1909,CALDWELL,RD
Non Residential,B4G 1C1,168,PENNINGTON,DR
Non Residential,B3N 2S8,3543,DUTCH VILLAGE,RD
Non Residential,B3S 1A9,110,CHAIN LAKE,DR
Non Residential,B3K 0G8,6082,COLUMBUS,ST
Non Residential,B3B 2B9,40,GLORIA MCCLUSKEY,AVE
Non Residential,B2Y 1H3,44,PORTLAND,ST
Non Residential,B2T 1K3,589,BARNES,DR
Non Residential,B3K 3V2,2409,MAYNARD,ST
Non Residential,B2Y 1J9,282,PORTLAND,ST
Non Residential,B3V 1R4,19,FRANCIS GRAY,DR
Non Residential,B3J 1W6,1874,HOLLIS,ST
Non Residential,B2T 1J1,1480,FALL RIVER,RD
Non Residential,B3K 3B3,2076,GOTTINGEN,ST
Non Residential,B3N 2R8,3426,DUTCH VILLAGE,RD
Non Residential,B2Y 1H1,21,PORTLAND,ST
Non Residential,B4C 0A2,40,FREER,LANE
Non Residential,B3B 0B7,80,GALE,TERR
Non Residential,B2T 1B9,2103,OLD GUYSBOROUGH,RD
Non Residential,B3B 0E7,137,COUNTRYVIEW,DR
Non Residential,B3T 1J1,3245,ST MARGARETS BAY,RD
Non Residential,B0J 1T0,9849,ST MARGARETS BAY,RD
Non Residential,B3J 4B5,5051,SALTER,ST
Non Residential,B2V 1A8,661,CALDWELL,RD
Non Residential,B3N 1J8,401,ST MARGARETS BAY,RD
Non Residential,B3B 1Z6,46,PAYZANT,AVE
Non Residential,B3H 2P7,960,BARRINGTON,ST
Non Residential,B3B 1N6,25,ISNOR,DR
Non Residential,B3L 1A3,6214,QUINPOOL,RD
Non Residential,B3J 2A2,1652,BARRINGTON,ST
Non Residential,B2Z 1G1,24,BROOKS,DR
Non Residential,B4C 2R5,183,SACKVILLE,DR
Non Residential,B3B 0C6,45,LEMLAIR,ROW
Non Residential,B3Z 3P4,8650,PEGGYS COVE,RD
Non Residential,B2W 2R7,37,WOODLAWN,RD
Non Residential,B3J 1E9,5381,SPRING GARDEN,RD
Non Residential,B4E 1S2,945,SACKVILLE,DR
Non Residential,B3S 1B8,45,LOVETT LAKE,CRT
Non Residential,B3H 4J1,1355,OXFORD,ST
Non Residential,B2Y 2C6,60,HASTINGS,DR
Non Residential,B3V 1B1,1036,OLD SAMBRO,RD
Non Residential,B3K 4E2,2749,AGRICOLA,ST
Non Residential,B2Y 1J5,217,PORTLAND,ST
Non Residential,B3A 1M6,180,WYSE,RD
Non Residential,B3J 3Y2,1970,GOTTINGEN,ST
Non Residential,B3R 1V7,334,HERRING COVE,RD
Non Residential,B3A 1N3,273,WYSE,RD
Non Residential,B3G 1M5,1534,SHORE,RD
Non Residential,B2V 1E7,1114,COLE HARBOUR,RD
Non Residential,B4E 3B7,479,PATTON,RD
Non Residential,B3J 1T6,1226,HOLLIS,ST
Non Residential,B3M 2J9,199,BEDFORD,HWY
Non Residential,B2Y 3S3,298,PLEASANT,ST
Non Residential,B4C 2S3,584,SACKVILLE,DR
Non Residential,B4B 1H6,383,KEARNEY LAKE,RD
Non Residential,B3S 1K3,26,THOMAS RADDALL,DR
Non Residential,B3M 3K3,69,WESTRIDGE,DR
Non Residential,B3J 1Z9,1663,BARRINGTON,ST
Non Residential,B3S 1L9,42,OTTER LAKE,CRT
Non Residential,B3K 4T7,2689,KING,ST
Non Residential,B4E 3A5,49,MAJESTIC,AVE
Non Residential,B2T 1J1,1423,FALL RIVER,RD
Non Residential,B4G 1E7,125,KNOWLES,CRES
Non Residential,B4B 2C8,20,FARMERS DAIRY,LANE
Non Residential,B3J 1A1,5151,TERMINAL,RD
Non Residential,B3B 2A3,5,BURLEY,CRT
Non Residential,B3B 0H4,635,WILKINSON,AVE
Non Residential,B3V 1K1,651,KETCH HARBOUR,RD
Non Residential,B3J 2G9,2011,BRUNSWICK,ST
Non Residential,B2V 1N3,1268,COLE HARBOUR,RD
Non Residential,B3L 1A7,6429,QUINPOOL,RD
Non Residential,B0J 3B0,5,EAST RIVER,RD
Non Residential,B0J 2L0,26,EAST PETPESWICK,RD
Non Residential,B2Y 4K9,50,MOUNT HOPE,AVE
Non Residential,B3T 1J1,3156,ST MARGARETS BAY,RD
Non Residential,B3Z 1E5,1,FOX HOLLOW,DR
Non Residential,B4C 4E8,470,COBEQUID,RD
Non Residential,B3H 4R4,1015,BARRINGTON,ST
Non Residential,B3J 1Z4,1533,BARRINGTON,ST
Non Residential,B2X 2C6,252,WAVERLEY,RD
Non Residential,B3M 2L1,364,BEDFORD,HWY
Non Residential,B4C 2S1,479,SACKVILLE,DR
Non Residential,B3J 1B3,5190,MORRIS,ST
Non Residential,B2T 1G2,418,WINDSOR JUNCTION,RD
Non Residential,B4E 2R3,127,BEAVER BANK,RD
Non Residential,B2W 2S7,112,WOODLAWN,RD
Non Residential,B4G 1C3,273,TUCKER LAKE,RD
Non Residential,B3S 0E4,145,HOBSONS LAKE,DR
Non Residential,B2V 1E9,1172,COLE HARBOUR,RD
Non Residential,B3Z 3P4,8536,PEGGYS COVE,RD
Non Residential,B3M 0G2,9,PEAKVIEW,WAY
Non Residential,B2Y 1H7,121,PORTLAND,ST
Non Residential,B3J 2B2,1593,ARGYLE,ST
Non Residential,B4A 1C6,1254,BEDFORD,HWY
Non Residential,B3K 1Y5,5554,KAYE,ST
Non Residential,B3P 1A5,5,KIRK,RD
Non Residential,B3K 4X8,3580,KEMPT,RD
Non Residential,B4G 1E8,1240,BEAVER BANK,RD
Non Residential,B3J 1S5,1751,LOWER WATER,ST
Non Residential,B2Y 4P9,15,NEPTUNE,CRES
Non Residential,B2S 2E7,156,LOGAN,RD
Non Residential,B2Y 2S9,41,WENTWORTH,ST
Non Residential,B3B 1R8,60,AKERLEY,BLVD
Non Residential,B2W 6J6,1,BROOM,RD
Non Residential,B4C 2S2,556,SACKVILLE,DR
Non Residential,B2Y 4W6,21,ORION,CRT
Non Residential,B3K 1C2,5506,CUNARD,ST
Non Residential,B3Z 3J3,9976,PEGGYS COVE,RD
Non Residential,B4E 1R6,779,SACKVILLE,DR
Non Residential,B3V 1G1,3725,OLD SAMBRO,RD
Non Residential,B3L 3X9,3495,MCALPINE,AVE
Non Residential,B2T 1K3,579,BARNES,DR
Non Residential,B3L 2P7,6545,MACDOUGALL,ST
Non Residential,B4C 2M9,15,COBEQUID,RD
Non Residential,B3K 3E8,3590,NOVALEA,DR
Non Residential,B3Z 1A8,119,SILVER BIRCH,DR
Non Residential,B3J 1J7,5234,BLOWERS,ST
Non Residential,B3B 1L4,21,RADDALL,AVE
Non Residential,B0J 1Y0,2578,WEST SHIP HARBOUR,RD
Non Residential,B2Y 1E1,174,OCHTERLONEY,ST
Non Residential,B3J 1J5,5217,BLOWERS,ST
Non Residential,B3M 2L4,380,BEDFORD,HWY
Non Residential,B3R 1M6,11,ALDERGROVE,DR
Non Residential,B3K 3B9,2380,GOTTINGEN,ST
Non Residential,B4B 0S9,1201,LARRY UTECK,BLVD
Non Residential,B4C 2R8,536,SACKVILLE,DR
Non Residential,B2Y 4R6,50,RAGUS,RD
Non Residential,B3J 2G1,1585,BRUNSWICK,ST
Non Residential,B2W 6L4,250,BAKER,DR
Non Residential,B3K 5K7,5406,ROOME,ST
Non Residential,B3B 1H9,12,DAWN,DR
Non Residential,B3L 4H7,3480,JOSEPH HOWE,DR
Non Residential,B4C 4G3,12,MURDOCK MACKAY,CRT
Non Residential,B0J 3B0,41,LEWISTON,RD
Non Residential,B4C 2N5,220,COBEQUID,RD
Non Residential,B3B 0E7,49,COUNTRYVIEW,DR
Non Residential,B3R 1R5,1,HARTLEN,AVE
Non Residential,B3J 1J7,5232,BLOWERS,ST
Non Residential,B4C 2S4,667,SACKVILLE,DR
Non Residential,B3K 4C1,2411,AGRICOLA,ST
Non Residential,B4E 3A9,173,LIVELY,RD
Non Residential,B3H 4N4,1096,MARGINAL,RD
Non Residential,B3T 1P7,1656,PROSPECT,RD
Non Residential,B0J 3A0,48,CADET,RD
Non Residential,B4B 1N8,719,POCKWOCK,RD
Non Residential,B3M 2K1,188,BEDFORD,HWY
Non Residential,B3S 1E1,255,HORSESHOE LAKE,DR
Non Residential,B2Y 1C7,108,OCHTERLONEY,ST
Non Residential,B2Y 3S4,337,PLEASANT,ST
Non Residential,B3K 2V6,6375,BAYNE,ST
Non Residential,B3B 0C1,61,HECTOR,GATE
Non Residential,B3K 4C4,2559,AGRICOLA,ST
Non Residential,B4C 3H2,51,MCDOUGALL,AVE
Non Residential,B3J 1G8,5505,SPRING GARDEN,RD
Non Residential,B0J 3A0,230,MARINE PARADE,DR
Non Residential,B3Z 2H7,5548,ST MARGARETS BAY,RD
Non Residential,B3A 4M4,30,IROQUOIS,DR
Non Residential,B4B 1R4,25,SEVENTH,ST
Non Residential,B3K 5M7,3099,BARRINGTON,ST
Non Residential,B3H 1K8,5916,INGLIS,ST
Non Residential,B4A 1E4,1460,BEDFORD,HWY
Non Residential,B3L 4H7,3514,JOSEPH HOWE,DR
Non Residential,B0J 1T0,10353,ST MARGARETS BAY,RD
Non Residential,B0N 2H0,1247,MEADOW,RD
Non Residential,B3B 1R6,162,TRIDER,CRES
Non Residential,B3L 1K9,6309,CHEBUCTO,RD
Non Residential,B3N 2S2,3556,DUTCH VILLAGE,RD
Non Residential,B3H 1G4,5502,ATLANTIC,ST
Non Residential,B4A 1G3,1735,BEDFORD,HWY
Non Residential,B2V 1E7,1106,COLE HARBOUR,RD
Non Residential,B3K 1L8,6061,WILLOW,ST
Non Residential,B2Y 4S1,11,MOUNT HOPE,AVE
Non Residential,B4B 1P3,1990,HAMMONDS PLAINS,RD
Non Residential,B4G 1C5,1583,BEAVER BANK,RD
Non Residential,B3N 2R5,3587,PERCY,ST
Non Residential,B3K 1S7,5553,BLOOMFIELD,ST
Non Residential,B3A 2S5,17,TULIP,ST
Non Residential,B3H 1K7,5985,INGLIS,ST
Non Residential,B2X 1J1,22,GLENCOE,DR
Non Residential,B3R 2J4,101,THORNHILL,DR
Non Residential,B4C 3G1,241,SMOKEY,DR
Non Residential,B2Z 1A8,49,WILFRED JACKSON,WAY
Non Residential,B2T 1K3,300,SKY,BLVD
Non Residential,B0J 1W0,35,BAKERS POINT,RD
Non Residential,B3K 1R4,5737,MCCULLY,ST
Non Residential,B3L 1A9,6454,QUINPOOL,RD
Non Residential,B3L 4V6,3139,OXFORD,ST
Non Residential,B3B 1Y5,40,THORNE,AVE
Non Residential,B3J 2B9,1521,GRAFTON,ST
Non Residential,B3S 1E1,291,HORSESHOE LAKE,DR
Non Residential,B2X 1R6,133,MAIN,ST
Non Residential,B4E 3B1,1933,SACKVILLE,DR
Non Residential,B2W 6L4,240,BAKER,DR
Non Residential,B3B 0G8,16,KILTEARN,ROW
Non Residential,B2W 0J7,639,PORTLAND HILLS,DR
Non Residential,B3R 1T5,9,DENTITH,RD
Non Residential,B3B 1T5,204,BROWNLOW,AVE
Non Residential,B3S 1B1,114,CHAIN LAKE,DR
Non Residential,B0J 1T0,20,FITZGERALD,RD
Non Residential,B3B 0C7,27,LOGIEALMOND,CL
Non Residential,B4B 1P3,1993,HAMMONDS PLAINS,RD
Non Residential,B3Z 4H3,5178,ST MARGARETS BAY,RD
Non Residential,B3B 0J6,220,CUTLER,AVE
Non Residential,B4A 2T6,632,ROCKY LAKE,DR
Non Residential,B3K 3E8,3558,NOVALEA,DR
Non Residential,B3L 2W4,2970,OXFORD,ST
Non Residential,B2W 0J4,40,BROOM,RD
Non Residential,B3T 1A7,1141,ST MARGARETS BAY,RD
Non Residential,B3M 2K5,261,BEDFORD,HWY
Non Residential,B0J 1T0,9856,ST MARGARETS BAY,RD
Non Residential,B3T 2B3,1640,PROSPECT BAY,RD
Non Residential,B0J 1Y0,593,LITTLE HARBOUR,RD
Non Residential,B3B 1J4,10,AKERLEY,BLVD
Non Residential,B3B 1W4,13,SCARFE,CRT
Non Residential,B3R 1V9,349,HERRING COVE,RD
Non Residential,B3H 3C2,883,ROBIE,ST
Non Residential,B3K 3B5,2199,GOTTINGEN,ST
Non Residential,B4B 1J6,348,BLUEWATER,RD
Non Residential,B2Y 3M5,26,NEWCASTLE,ST
Non Residential,B2X 1S1,155,MAIN,ST
Non Residential,B3V 1H9,7,LANCASTER,DR
Non Residential,B3B 2Z3,61,GLORIA MCCLUSKEY,AVE
Non Residential,B0J 1Y0,136,NEBOOKTOOK,WALK
Non Residential,B3G 1L3,1493,COW BAY,RD
Non Residential,B3G 1M5,1180,MAIN,RD
Non Residential,B3J 1S9,1883,UPPER WATER,ST
Non Residential,B3K 1B4,5580,CORNWALLIS,ST
Non Residential,B3G 1C6,346,COW BAY,RD
Non Residential,B3N 1J7,16,BALCOMES,DR
Non Residential,B3K 2E5,6070,STAIRS,ST
Non Residential,B2Z 1B4,246,ROSS,RD
Non Residential,B4B 0L9,20,ANGUS MORTON,DR
Non Residential,B4B 1B4,1220,HAMMONDS PLAINS,RD
Non Residential,B3B 0B3,320,WRIGHT,AVE
Non Residential,B3B 1V5,236,BROWNLOW,AVE
Non Residential,B3G 1H6,25,LIGHTHOUSE,LANE
Non Residential,B3J 1S9,1877,UPPER WATER,ST
Non Residential,B3J 3M5,1489,HOLLIS,ST
Non Residential,B2Y 1J4,194,PORTLAND,ST
Non Residential,B3E 1M6,4,THOMAS,ST
Non Residential,B0J 1T0,10431,ST MARGARETS BAY,RD
Non Residential,B4B 1M5,2290,HAMMONDS PLAINS,RD
Non Residential,B2X 2C6,268,WAVERLEY,RD
Non Residential,B3K 4C7,2713,AGRICOLA,ST
Non Residential,B3B 1J3,22,AKERLEY,BLVD
Non Residential,B4C 1X5,271,CHANDLER,DR
Non Residential,B3V 1A7,79,BRUNT,RD
Non Residential,B3A 4R9,60,HIGHFIELD PARK,DR
Non Residential,B3A 3E6,48,ELMWOOD,AVE
Non Residential,B3K 2S2,6331,LADY HAMMOND,RD
Non Residential,B3H 3X3,1871,SELDON,ST
Non Residential,B3B 1B3,484,WINDMILL,RD
Non Residential,B3Z 3G9,10493,PEGGYS COVE,RD
Non Residential,B3Z 3S8,6958,PROSPECT,RD
Non Residential,B3K 4P2,2736,ROBIE,ST
Non Residential,B3H 2R2,1106,BARRINGTON,ST
Non Residential,B3J 1E7,5250,SPRING GARDEN,RD
Non Residential,B3J 1W6,1876,HOLLIS,ST
Non Residential,B0J 3H0,860,MUSHABOOM,RD
Non Residential,B3A 1N6,274,WYSE,RD
Non Residential,B3B 2E5,2,ROYLES,AVE
Non Residential,B2X 1R6,143,MAIN,ST
Non Residential,B2Y 2N6,45,ALDERNEY,DR
Non Residential,B3T 1B6,1594,ST MARGARETS BAY,RD
Non Residential,B0J 2L0,43,EAST PETPESWICK,RD
Non Residential,B3S 1N9,156,PARKLAND,DR
Non Residential,B4B 1M6,96,POCKWOCK,RD
Non Residential,B2X 2E8,390,WAVERLEY,RD
Non Residential,B2R 1S4,2393,ROCKY LAKE,DR
Non Residential,B2Y 1G8,92,QUEEN,ST
Non Residential,B3B 1V2,30,OLAND,CRT
Non Residential,B3H 1Z4,6088,COBURG,RD
Non Residential,B0J 1T0,10,HARNISH,LANE
Non Residential,B4B 1S1,250,LUCASVILLE,RD
Non Residential,B3B 1C8,38,BORDEN,AVE
Non Residential,B3K 2R6,6034,LADY HAMMOND,RD
Non Residential,B3B 0L4,420,HIGNEY,AVE
Non Residential,B3L 1R6,6225,SUMMIT,ST
Non Residential,B3L 2W3,2973,OXFORD,ST
Non Residential,B4A 1E2,1384,BEDFORD,HWY
Non Residential,B4A 1A4,805,BEDFORD,HWY
Non Residential,B4E 1K1,351,BEAVER BANK,RD
Non Residential,B2Y 0A3,2,PRINCE ALBERT,RD
Non Residential,B0J 3B0,45,SUNSET,DR
Non Residential,B3M 1P7,8,MELODY,DR
Non Residential,B2Y 1K9,384,PORTLAND,ST
Non Residential,B2Y 1E1,166,OCHTERLONEY,ST
Non Residential,B3S 1C5,208,CHAIN LAKE,DR
Non Residential,B3K 1N7,5780,NORTH,ST
Non Residential,B3J 2K5,1331,BRENTON,ST
Non Residential,B4E 3A6,1078,OLD SACKVILLE,RD
Non Residential,B3J 2X4,5410,SPRING GARDEN,RD
Non Residential,B3J 1Y5,1276,BARRINGTON,ST
Non Residential,B3B 1B6,617,WINDMILL,RD
Non Residential,B3B 1L8,7,MOSHER,DR
Non Residential,B3J 2B3,1568,ARGYLE,ST
Non Residential,B4C 3M1,22,GLENDALE,AVE
Non Residential,B3J 1V1,1459,HOLLIS,ST
Non Residential,B0J 3B0,22,SPROTT,LANE
Non Residential,B3H 1Y8,6005,COBURG,RD
Non Residential,B2Z 1B4,156,ROSS,RD
Non Residential,B2Y 4N2,38,ATLANTIC,ST
Non Residential,B3H 3Y8,1300,OXFORD,ST
Non Residential,B2T 1K3,75,BELL,BLVD
Non Residential,B3S 1A1,300,HORSESHOE LAKE,DR
Non Residential,B3J 2A2,1656,BARRINGTON,ST
Non Residential,B3A 1J3,364,WINDMILL,RD
Non Residential,B3B 1X3,15,WILLIAMS,AVE
Non Residential,B4G 2S6,3213,BEAVER BANK,RD
